,Domein,Model,Word_Count,JA,FJ,CIL,LG,AU,Lexical_TFIDF,Semantic_BERT,Round,Domain,Score
0,Housing Allocation,1_Baseline,640.33,3.0,3.33,3.0,4.33,3.67,0.84,0.67,1,Housing Allocation,3.4659999999999997
1,Housing Allocation,2_LegalBERT_RAG,707.67,3.0,3.33,3.0,4.33,3.67,0.85,0.56,1,Housing Allocation,3.4659999999999997
2,Housing Allocation,3_LegalBERT_RAG_OPTIMIZED,641.67,3.0,2.0,3.0,4.0,3.67,0.87,0.71,1,Housing Allocation,3.134
3,Vacation Rental,1_Baseline,562.33,4.33,3.67,4.0,5.0,5.0,0.83,0.71,1,Vacation Rental,4.4
4,Vacation Rental,2_LegalBERT_RAG,657.67,4.0,4.67,3.67,5.0,4.67,0.86,0.73,1,Vacation Rental,4.401999999999999
5,Vacation Rental,3_LegalBERT_RAG_OPTIMIZED,547.0,4.0,3.33,4.0,5.0,5.0,0.85,0.81,1,Vacation Rental,4.266
6,Housing Allocation,1_Baseline,591.33,4.0,4.0,3.67,5.0,4.67,0.84,0.67,10,Housing Allocation,4.268000000000001
7,Housing Allocation,2_LegalBERT_RAG,679.33,3.0,3.33,3.33,4.33,4.0,0.86,0.59,10,Housing Allocation,3.5980000000000003
8,Housing Allocation,3_LegalBERT_RAG_OPTIMIZED,813.67,3.33,3.0,3.33,4.67,4.33,0.87,0.63,10,Housing Allocation,3.732
9,Vacation Rental,1_Baseline,616.67,4.0,3.67,3.67,4.67,4.67,0.84,0.64,10,Vacation Rental,4.136
10,Vacation Rental,2_LegalBERT_RAG,585.33,4.33,4.0,4.0,5.0,5.0,0.85,0.66,10,Vacation Rental,4.465999999999999
11,Vacation Rental,3_LegalBERT_RAG_OPTIMIZED,643.0,4.67,4.33,4.0,5.0,5.0,0.85,0.82,10,Vacation Rental,4.6
12,Housing Allocation,1_Baseline,647.67,3.33,3.33,3.0,4.33,4.0,0.84,0.62,11,Housing Allocation,3.5980000000000003
13,Housing Allocation,2_LegalBERT_RAG,714.33,3.0,2.67,3.33,4.33,4.0,0.86,0.54,11,Housing Allocation,3.4659999999999997
14,Housing Allocation,3_LegalBERT_RAG_OPTIMIZED,695.33,3.33,3.0,3.33,4.67,4.33,0.88,0.66,11,Housing Allocation,3.732
15,Vacation Rental,1_Baseline,570.0,4.0,3.33,3.67,4.67,4.67,0.83,0.76,11,Vacation Rental,4.068
16,Vacation Rental,2_LegalBERT_RAG,698.67,4.67,4.67,4.0,5.0,5.0,0.87,0.74,11,Vacation Rental,4.668
17,Vacation Rental,3_LegalBERT_RAG_OPTIMIZED,591.0,4.33,4.33,4.0,5.0,5.0,0.89,0.76,11,Vacation Rental,4.532
18,Housing Allocation,1_Baseline,562.33,2.67,3.33,3.0,4.33,3.67,0.83,0.6,12,Housing Allocation,3.4
19,Housing Allocation,2_LegalBERT_RAG,718.0,3.67,3.67,3.33,4.33,4.0,0.86,0.55,12,Housing Allocation,3.8
20,Housing Allocation,3_LegalBERT_RAG_OPTIMIZED,766.67,3.33,3.67,3.33,4.67,4.33,0.87,0.65,12,Housing Allocation,3.8659999999999997
21,Vacation Rental,1_Baseline,559.0,4.0,3.33,3.67,4.67,4.67,0.81,0.75,12,Vacation Rental,4.068
22,Vacation Rental,2_LegalBERT_RAG,702.0,4.67,4.33,4.0,5.0,5.0,0.86,0.79,12,Vacation Rental,4.6
23,Vacation Rental,3_LegalBERT_RAG_OPTIMIZED,728.0,4.33,4.33,4.0,5.0,5.0,0.88,0.74,12,Vacation Rental,4.532
24,Housing Allocation,1_Baseline,638.67,3.33,3.0,3.33,4.33,4.0,0.86,0.63,13,Housing Allocation,3.5980000000000003
25,Housing Allocation,2_LegalBERT_RAG,745.0,3.33,3.0,3.33,4.67,4.33,0.89,0.54,13,Housing Allocation,3.732
26,Housing Allocation,3_LegalBERT_RAG_OPTIMIZED,791.67,3.33,3.67,3.33,4.67,4.33,0.89,0.67,13,Housing Allocation,3.8659999999999997
27,Vacation Rental,1_Baseline,617.67,4.0,3.33,3.67,5.0,5.0,0.83,0.68,13,Vacation Rental,4.2
28,Vacation Rental,2_LegalBERT_RAG,704.67,3.67,4.0,3.0,4.67,4.33,0.85,0.64,13,Vacation Rental,3.934
29,Vacation Rental,3_LegalBERT_RAG_OPTIMIZED,759.0,4.0,4.0,3.67,4.67,4.67,0.88,0.83,13,Vacation Rental,4.202
30,Housing Allocation,1_Baseline,591.33,4.0,4.0,3.67,5.0,4.67,0.84,0.67,14,Housing Allocation,4.268000000000001
31,Housing Allocation,2_LegalBERT_RAG,679.33,3.0,3.33,3.33,4.33,4.0,0.86,0.59,14,Housing Allocation,3.5980000000000003
32,Housing Allocation,3_LegalBERT_RAG_OPTIMIZED,813.67,3.33,3.0,3.33,4.67,4.33,0.87,0.63,14,Housing Allocation,3.732
33,Vacation Rental,1_Baseline,616.67,4.0,3.67,3.67,4.67,4.67,0.84,0.64,14,Vacation Rental,4.136
34,Vacation Rental,2_LegalBERT_RAG,585.33,4.33,4.0,4.0,5.0,5.0,0.85,0.66,14,Vacation Rental,4.465999999999999
35,Vacation Rental,3_LegalBERT_RAG_OPTIMIZED,643.0,4.67,4.33,4.0,5.0,5.0,0.85,0.82,14,Vacation Rental,4.6
36,Housing Allocation,1_Baseline,591.33,4.0,4.0,3.67,5.0,4.67,0.84,0.67,15,Housing Allocation,4.268000000000001
37,Housing Allocation,2_LegalBERT_RAG,679.33,3.0,3.33,3.33,4.33,4.0,0.86,0.59,15,Housing Allocation,3.5980000000000003
38,Housing Allocation,3_LegalBERT_RAG_OPTIMIZED,813.67,3.33,3.0,3.33,4.67,4.33,0.87,0.63,15,Housing Allocation,3.732
39,Vacation Rental,1_Baseline,616.67,4.0,3.67,3.67,4.67,4.67,0.84,0.64,15,Vacation Rental,4.136
40,Vacation Rental,2_LegalBERT_RAG,585.33,4.33,4.0,4.0,5.0,5.0,0.85,0.66,15,Vacation Rental,4.465999999999999
41,Vacation Rental,3_LegalBERT_RAG_OPTIMIZED,643.0,4.67,4.33,4.0,5.0,5.0,0.85,0.82,15,Vacation Rental,4.6
42,Housing Allocation,1_Baseline,611.67,3.33,4.0,3.33,4.33,4.0,0.84,0.61,2,Housing Allocation,3.7980000000000005
43,Housing Allocation,2_LegalBERT_RAG,716.67,3.67,3.33,3.0,4.67,4.33,0.86,0.53,2,Housing Allocation,3.8
44,Housing Allocation,3_LegalBERT_RAG_OPTIMIZED,638.0,3.33,3.0,3.33,4.67,4.33,0.88,0.63,2,Housing Allocation,3.732
45,Vacation Rental,1_Baseline,521.67,4.0,4.0,3.67,4.67,4.33,0.8,0.67,2,Vacation Rental,4.134
46,Vacation Rental,2_LegalBERT_RAG,630.0,4.67,5.0,4.0,5.0,5.0,0.83,0.72,2,Vacation Rental,4.734
47,Vacation Rental,3_LegalBERT_RAG_OPTIMIZED,504.67,3.33,3.0,3.33,4.67,4.33,0.83,0.8,2,Vacation Rental,3.732
48,Housing Allocation,1_Baseline,638.33,3.0,2.67,3.0,4.0,3.67,0.84,0.62,3,Housing Allocation,3.268
49,Housing Allocation,2_LegalBERT_RAG,717.67,3.67,3.67,3.33,4.67,4.33,0.87,0.63,3,Housing Allocation,3.934
50,Housing Allocation,3_LegalBERT_RAG_OPTIMIZED,715.33,3.0,3.0,3.33,4.33,4.0,0.87,0.74,3,Housing Allocation,3.532
51,Vacation Rental,1_Baseline,549.33,4.33,3.67,4.0,5.0,5.0,0.84,0.74,3,Vacation Rental,4.4
52,Vacation Rental,2_LegalBERT_RAG,683.0,4.67,4.33,4.0,5.0,5.0,0.86,0.78,3,Vacation Rental,4.6
53,Vacation Rental,3_LegalBERT_RAG_OPTIMIZED,590.67,3.67,3.67,4.0,5.0,4.67,0.84,0.84,3,Vacation Rental,4.202
54,Housing Allocation,1_Baseline,615.33,3.0,3.33,3.33,4.33,4.0,0.84,0.63,4,Housing Allocation,3.5980000000000003
55,Housing Allocation,2_LegalBERT_RAG,702.0,3.0,2.67,3.33,4.33,3.67,0.87,0.62,4,Housing Allocation,3.4
56,Housing Allocation,3_LegalBERT_RAG_OPTIMIZED,782.33,3.33,3.0,3.33,4.67,4.33,0.86,0.7,4,Housing Allocation,3.732
57,Vacation Rental,1_Baseline,549.0,4.0,4.0,3.67,5.0,4.67,0.8,0.77,4,Vacation Rental,4.268000000000001
58,Vacation Rental,2_LegalBERT_RAG,660.33,5.0,4.67,4.0,5.0,5.0,0.85,0.7,4,Vacation Rental,4.734
59,Vacation Rental,3_LegalBERT_RAG_OPTIMIZED,758.0,5.0,4.67,4.33,5.0,5.0,0.87,0.83,4,Vacation Rental,4.8
60,Housing Allocation,1_Baseline,566.0,3.0,3.33,3.0,4.33,4.0,0.82,0.67,5,Housing Allocation,3.532
61,Housing Allocation,2_LegalBERT_RAG,704.67,3.33,2.67,3.67,4.67,4.33,0.85,0.6,5,Housing Allocation,3.7340000000000004
62,Housing Allocation,3_LegalBERT_RAG_OPTIMIZED,549.0,3.0,3.67,3.33,4.33,4.0,0.8,0.49,5,Housing Allocation,3.6659999999999995
63,Vacation Rental,1_Baseline,532.0,4.0,3.33,3.67,4.67,4.67,0.82,0.7,5,Vacation Rental,4.068
64,Vacation Rental,2_LegalBERT_RAG,611.33,4.67,4.33,4.0,5.0,5.0,0.85,0.68,5,Vacation Rental,4.6
65,Vacation Rental,3_LegalBERT_RAG_OPTIMIZED,532.0,4.67,4.0,4.0,5.0,5.0,0.83,0.6,5,Vacation Rental,4.534000000000001
66,Housing Allocation,1_Baseline,594.67,3.67,4.0,3.33,4.33,4.0,0.83,0.57,6,Housing Allocation,3.8659999999999997
67,Housing Allocation,2_LegalBERT_RAG,675.0,3.33,2.33,3.33,4.67,4.0,0.85,0.55,6,Housing Allocation,3.532
68,Housing Allocation,3_LegalBERT_RAG_OPTIMIZED,579.67,3.33,2.33,3.33,4.67,4.33,0.87,0.63,6,Housing Allocation,3.5980000000000003
69,Vacation Rental,1_Baseline,568.33,4.0,3.33,3.67,4.67,4.67,0.81,0.69,6,Vacation Rental,4.068
70,Vacation Rental,2_LegalBERT_RAG,632.0,4.67,4.33,4.0,5.0,5.0,0.84,0.77,6,Vacation Rental,4.6
71,Vacation Rental,3_LegalBERT_RAG_OPTIMIZED,522.33,4.67,4.33,4.33,5.0,5.0,0.85,0.77,6,Vacation Rental,4.6659999999999995
72,Housing Allocation,1_Baseline,585.67,3.67,3.33,3.33,4.33,4.0,0.84,0.66,7,Housing Allocation,3.732
73,Housing Allocation,2_LegalBERT_RAG,711.0,3.67,3.67,3.33,4.33,4.0,0.85,0.55,7,Housing Allocation,3.8
74,Housing Allocation,3_LegalBERT_RAG_OPTIMIZED,705.0,3.67,3.0,3.33,4.67,4.33,0.86,0.64,7,Housing Allocation,3.8
75,Vacation Rental,1_Baseline,543.67,4.33,4.0,3.67,5.0,5.0,0.81,0.73,7,Vacation Rental,4.4
76,Vacation Rental,2_LegalBERT_RAG,696.0,4.33,4.33,4.0,5.0,5.0,0.84,0.65,7,Vacation Rental,4.532
77,Vacation Rental,3_LegalBERT_RAG_OPTIMIZED,715.67,5.0,4.67,4.33,5.0,5.0,0.85,0.78,7,Vacation Rental,4.8
78,Housing Allocation,1_Baseline,585.33,4.0,4.0,4.0,5.0,5.0,0.85,0.62,8,Housing Allocation,4.4
79,Housing Allocation,2_LegalBERT_RAG,724.33,3.67,3.67,3.33,4.33,4.0,0.87,0.62,8,Housing Allocation,3.8
80,Housing Allocation,3_LegalBERT_RAG_OPTIMIZED,624.33,3.33,3.33,3.0,4.67,4.0,0.87,0.61,8,Housing Allocation,3.6659999999999995
81,Vacation Rental,1_Baseline,550.67,4.0,3.33,3.67,4.67,4.67,0.83,0.75,8,Vacation Rental,4.068
82,Vacation Rental,2_LegalBERT_RAG,627.67,4.33,4.33,4.0,5.0,5.0,0.84,0.73,8,Vacation Rental,4.532
83,Vacation Rental,3_LegalBERT_RAG_OPTIMIZED,659.67,4.67,4.33,4.0,5.0,5.0,0.87,0.81,8,Vacation Rental,4.6
84,Housing Allocation,1_Baseline,591.33,4.0,4.0,3.67,5.0,4.67,0.84,0.67,9,Housing Allocation,4.268000000000001
85,Housing Allocation,2_LegalBERT_RAG,679.33,3.0,3.33,3.33,4.33,4.0,0.86,0.59,9,Housing Allocation,3.5980000000000003
86,Housing Allocation,3_LegalBERT_RAG_OPTIMIZED,813.67,3.33,3.0,3.33,4.67,4.33,0.87,0.63,9,Housing Allocation,3.732
87,Vacation Rental,1_Baseline,616.67,4.0,3.67,3.67,4.67,4.67,0.84,0.64,9,Vacation Rental,4.136
88,Vacation Rental,2_LegalBERT_RAG,585.33,4.33,4.0,4.0,5.0,5.0,0.85,0.66,9,Vacation Rental,4.465999999999999
89,Vacation Rental,3_LegalBERT_RAG_OPTIMIZED,643.0,4.67,4.33,4.0,5.0,5.0,0.85,0.82,9,Vacation Rental,4.6
